Timestamp,Group_Reward,QoE_Variance,Jain_Index
2025-11-07 16:41:01,7.7522,42.6989,0.9999
2025-11-07 16:41:01,7.7509,60.3223,0.9998
2025-11-07 16:41:01,7.7494,61.0196,0.9998
2025-11-07 16:41:01,7.7503,70.5530,0.9998
2025-11-07 16:41:01,7.7479,62.3471,0.9998
2025-11-07 16:41:01,7.7478,64.0591,0.9998
2025-11-07 16:41:01,7.7451,73.8346,0.9998
2025-11-07 16:41:02,7.7424,40.6977,0.9999
2025-11-07 16:41:02,7.7437,48.6439,0.9999
2025-11-07 16:41:02,7.7411,80.7721,0.9998
2025-11-07 16:41:02,7.7407,82.5952,0.9998
2025-11-07 16:41:02,7.7420,98.2246,0.9997
2025-11-07 16:41:02,7.7443,123.0914,0.9996
2025-11-07 16:41:02,7.7477,74.9330,0.9998
2025-11-07 16:41:02,7.7547,59.0173,0.9998
2025-11-07 16:41:02,7.7487,68.4803,0.9998
2025-11-07 16:41:02,7.7484,64.7715,0.9998
2025-11-07 16:41:02,7.7467,85.0401,0.9997
2025-11-07 16:41:02,7.7467,84.4494,0.9997
2025-11-07 16:41:03,7.7548,100.9389,0.9997
2025-11-07 16:41:03,7.7539,97.1273,0.9997
2025-11-07 16:41:03,7.7545,86.0807,0.9997
2025-11-07 16:41:03,7.7545,86.0835,0.9997
2025-11-07 16:41:03,7.7517,64.0928,0.9998
2025-11-07 16:41:03,7.7516,63.5570,0.9998
2025-11-07 16:41:03,7.7485,119.3095,0.9996
2025-11-07 16:41:03,7.7450,101.1203,0.9997
2025-11-07 16:41:03,7.7469,122.3065,0.9996
2025-11-07 16:41:03,7.7448,110.7034,0.9997
2025-11-07 16:41:03,7.7485,53.4300,0.9998
2025-11-07 16:41:03,7.7481,53.9375,0.9998
2025-11-07 16:41:04,7.7453,27.5991,0.9999
2025-11-07 16:41:04,7.7459,29.5017,0.9999
2025-11-07 16:41:04,7.7456,32.6209,0.9999
2025-11-07 16:41:04,7.7484,40.9771,0.9999
2025-11-07 16:41:04,7.7516,67.1361,0.9998
2025-11-07 16:41:04,7.7526,68.1752,0.9998
2025-11-07 16:41:04,7.7520,78.1099,0.9998
2025-11-07 16:41:04,7.7496,75.8558,0.9998
2025-11-07 16:41:04,7.7482,59.7760,0.9998
2025-11-07 16:41:04,7.7503,75.2987,0.9998
2025-11-07 16:41:04,7.7504,74.7791,0.9998
